repos,repo_version,file,file_in_repo,name,asname,module
DailinH/cs273-project,latest,test_tune_restore.py,ray/python/ray/tune/tests/test_tune_restore.py,OptunaSearch,,ray.tune.suggest.optuna
DailinH/cs273-project,latest,test_tune_restore.py,ray/python/ray/tune/tests/test_tune_restore.py,param,ot_param,ray.tune.suggest.optuna
DailinH/cs273-project,latest,test_tune_restore.py,ray/python/ray/tune/tests/test_tune_restore.py,SigOptSearch,,ray.tune.suggest.sigopt
DailinH/cs273-project,latest,test_tune_restore.py,ray/python/ray/tune/tests/test_tune_restore.py,ZOOptSearch,,ray.tune.suggest.zoopt
DailinH/cs273-project,latest,test_tune_restore.py,ray/python/ray/tune/tests/test_tune_restore.py,validate_save_restore,,ray.tune.utils
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,numpy,np,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,torch,,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,torch.optim,optim,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,torch.nn,nn,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,datasets,,torchvision
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,transforms,,torchvision
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,DataLoader,,torch.utils.data
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,torch.nn.functional,F,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,tune,,ray
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,ASHAScheduler,,ray.tune.schedulers
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,hp,,hyperopt
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,HyperOptSearch,,ray.tune.suggest.hyperopt
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,os,,
DailinH/cs273-project,latest,tutorial.py,ray/python/ray/tune/tests/tutorial.py,TrainMNIST,,ray.tune.examples.mnist_pytorch_trainable
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,unittest,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,shutil,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,tempfile,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,random,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,os,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,pandas,pd,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,nan,,numpy
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,ray,,
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,tune,,ray
DailinH/cs273-project,latest,test_experiment_analysis.py,ray/python/ray/tune/tests/test_experiment_analysis.py,MyTrainableClass,,ray.tune.examples.async_hyperband_example
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,json,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,unittest,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,shutil,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,tempfile,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,os,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,random,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,pandas,pd,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,pytest,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,numpy,np,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,ray,,
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,run,,ray.tune
DailinH/cs273-project,latest,test_experiment_analysis_mem.py,ray/python/ray/tune/tests/test_experiment_analysis_mem.py,Trainable,,ray.tune
